93120	gcc-9 complains fails to see that switch handles all enum values, and still complains ' "control reaches end of non-void function" when there is no return after the switch
93137	[10 regression] ICE in refs_may_alias_p_2
93163	internal compiler error: verify_gimple failed
93138	[10 regression] elaborated type specifier visibility check problem
93143	[10 Regression] Multiple calls to static constexpr member function gives wrong code
93250	[10 Regression] ICE: in sign_mask, at wide-int.h:855
93255	internal compiler error: in sign_mask, at wide-int.h:855
93257	consteval functions returning 'void' are rejected when called
93285	[10 Regression] ICE in cp_gimplify_expr, at cp/cp-gimplify.c:931 since g:08f594eb399dab06
93311	Missing "warning" when instantiating a constexpr function
93173	[10 Regression] "error: incorrect sharing of tree nodes" and "internal compiler error: verify_gimple failed"
93275	[9/10 Regression] ICE: unexpected expression 'N' of kind template_parm_index
93360	FAIL: g++.dg/cpp0x/std-layout1.C -std=c++2a (test for excess errors)
93386	Missing a const qualifier in the type denoted by decltype((r))
93324	[10 Regression] ICE with -Wall on constexpr if
93331	[10 Regression] ICE in build2, at tree.c:4792
93406	No argument checking for wchar_t variants of print-like functions
93377	[10 Regression] ICE in tsubst_pack_expansion, at cp/pt.c:12852
93345	[10 Regression] ICE in nothrow_spec_p, at cp/except.c:1247
93400	[10 Regression] ICE: in tsubst, at cp/pt.c:15142 on friends with concepts
93414	Bad diagnostics for dynamic_cast during constant evaluation: implementation details leak out
93477	[10 Regression] __atribute__((weak)) variables sharing the same name in two named namespaces cause a multiple definition error
93513	internal compiler error internal compiler error: unexpected expression ‘(char)(e)’ of kind cast_expr
93496	Miscompile of range-for over braced-init-list in constructor of class with virtual inheritance
93458	ICE using coroutines
93559	[10 Regression] ICE: side-effects element in no-side-effects CONSTRUCTOR
93620	Floating point is broken in C++ on targets with excess precision
93629	A completely non-sensical requires-clause is accepted
93630	Multi-dimensional array initialization converts empty raw strings to NULL
93633	ICE on consteval virtual
93618	[10 Regression] : unknown array size in delete when using C++20 standard
93650	[10 Regression] ICE in cxx_eval_constant_expression, at cp/constexpr.c:5626
93688	Add mcf thread model to GCC on windows for supporting C++11 std::thread?
93684	[8/9 Regression] ICE in cp_lexer_consume_token, at cp/parser.c:1120
93549	[10 Regression] ICE / Segfault in constexpr expansion involving vector_size(16) short COND_EXPR
93728	First half of warning message suppressed because code pointed to is in system header
93643	[10 Regression] Static function pointer inside inline function with "C" linkage is not mangled
93713	[10 Regression] ICE in equivalently_constrained, at cp/constraint.cc:2949
93675	Starship operator on a hidden friend operator does not work
93557	__builtin_convertvector doesn't mark input as used
93228	[[deprecated("message")]] on template struct/class drops message
93710	poor location in diagnostics of messages about array initializers
93817	FAIL: g++.dg/diagnostic/array-init1.C -std=c++98 (test for errors, line 10)
93169	[10 regression] Variable incorrectly put into readonly section.
93443	gcc/cp/coroutines.cc:3555:23: runtime error: load of value 255, which is not a valid value for type 'bool'
93801	False -Wmismatched-tags upon redundant typename
93882	i18n: use consistent message template in decl.c
93712	[10 Regression] ICE in convert_like_real, at cp/call.c:7466
93869	[10 Regression] ICE in contains_struct_check with -Wmismatched-tags upon redundant typename
93804	exempt extern "C" headers from -Wredundant-tags
93929	In copy elision cases, fallback to lvalue even if rvalue overload resolution succeeds
93761	ICE when compiling a standard header as a header unit
93795	Out-of-line definition of class member template with 'requires std::invocable<T>' constraint fails to compile
93905	[8 Regression] Cannot use Derived type of Base containing both enum and protected destructor
93803	[10 Regression] ICE: segmentation fault with constant initialization of class having a [[no_unique_address]] field
93862	[10 Regression] ICE on static_cast of rvalue-reference-to-array of unknown bound [P0338] to its known static bound
93789	[8/9/10 Regression] internal compiler error: in tree_to_uhwi, at tree.c:7361
93933	[concepts] redeclaration of constrained template give error
93973	Wrong constexpr copy/move assignment operator allowed on non-literal type
93968	-Wswitch-default on exhaustive enum class gives warning about missing default case
93967	switch on exhaustive enum gives control reaches end of non-void function
93958	gcc trunk supports -std=c++20 but not -std=gnu++20
93279	[9 Regression] C++ Template substitution ICE
93998	[10 Regression] ICE in adjust_temp_type, at cp/constexpr.c:1426
93898	[9/10 Regression] internal compiler error: in output_constructor_regular_field
93299	[9 Regression] ICE in tsubst_copy, at cp/pt.c:15779
93551	[10 Regression] Call from templated function to constrained constructor segfaults when attempting to narrow to bool
94050	[10 Regression] C++ ABI change on armv7hl-linux-gnueabi since r10-1302
94101	Variadic template deduction guide issue - error: 'In instantiation of'
94068	[9 Regression] Internal compiler error when trying to resolve function overload since r9-2384
93870	[8/9/10 Regression] User-defined conversion function not working in evaluation of template argument
94067	[10 Regression] ICE on rotate with -Wconversion since r10-6527
94116	GCC regression - unexpected AST of kind lrotate_expr
93895	[10 Regression] ICE (segmentation fault) in use of __is_constructible intrinsic
93729	[concepts] binding bit-field to lvalue reference in requires expression should be SFINAE
94027	[10 Regression] ice in comptypes, at cp/typeck.c:1489 since r10-6907
94074	[10 Regression] bogus modifying a const object error with const COMPONENT_REF
93596	[10 Regression] ICE related to templates and vectors.
93425	[9/10 Regression] Template parameter deduction failure when template parameters have template template parameter since r9-3807-g5d9a0e3b99e31a21
94124	[10 Regression] conversion from ‘<brace-enclosed initializer list>’ to ‘F’ is ambiguous since r10-6388-ge98ebda074bf8fc5
93248	[8/9/10 Regression] ICE in decltype of template constructor with default argument within a class template since r8-2712
94214	function lookup with overloaded operators accepts invalid
94175	[10 Regression] Passing constexpr empty class variable to function since r10-599
94241	ranges::find_if doesn't like data structures defined in a function
94044	[10 Regression] internal compiler error: in comptypes, at cp/typeck.c:1490 on riscv64-unknown-linux-gnu and arm-eabi
94309	Fail to find post-increment operator in templated function
94186	[10 Regression] compiler incorrectly accepts a requires clause with predicate of non-bool type
94316	An error occurs when a globally defined array of classes is initialized with values
94265	wrong warning "duplicated 'if' condition"
94319	gcc/cp/coroutines.cc:2654: strange assignment ?
