	Unnamed: 0	Issue ID	Title
0	0	93496	Miscompile of range-for over braced-init-list in constructor of class with virtual inheritance
1	1	93137	[10 regression] ICE in refs_may_alias_p_2
2	2	93285	[10 Regression] ICE in cp_gimplify_expr, at cp/cp-gimplify.c:931 since g:08f594eb399dab06
3	3	93163	internal compiler error: verify_gimple failed
4	4	93360	FAIL: g++.dg/cpp0x/std-layout1.C -std=c++2a (test for excess errors)
5	5	93400	[10 Regression] ICE: in tsubst, at cp/pt.c:15142 on friends with concepts
6	6	93228	"[[deprecated(""message"")]] on template struct/class drops message"
7	7	93377	[10 Regression] ICE in tsubst_pack_expansion, at cp/pt.c:12852
8	8	93138	[10 regression] elaborated type specifier visibility check problem
9	9	93458	ICE using coroutines
10	10	93173	"[10 Regression] ""error: incorrect sharing of tree nodes"" and ""internal compiler error: verify_gimple failed"""
11	11	93869	[10 Regression] ICE in contains_struct_check with -Wmismatched-tags upon redundant typename
12	12	93275	[9/10 Regression] ICE: unexpected expression 'N' of kind template_parm_index
13	13	93311	"Missing ""warning"" when instantiating a constexpr function"
14	14	93795	Out-of-line definition of class member template with 'requires std::invocable<T>' constraint fails to compile
15	15	93905	[8 Regression] Cannot use Derived type of Base containing both enum and protected destructor
16	16	93803	[10 Regression] ICE: segmentation fault with constant initialization of class having a [[no_unique_address]] field
17	17	93255	internal compiler error: in sign_mask, at wide-int.h:855
18	18	93630	Multi-dimensional array initialization converts empty raw strings to NULL
19	19	93477	[10 Regression] __atribute__((weak)) variables sharing the same name in two named namespaces cause a multiple definition error
20	20	93513	internal compiler error internal compiler error: unexpected expression ‘(char)(e)’ of kind cast_expr
21	21	93968	-Wswitch-default on exhaustive enum class gives warning about missing default case
22	22	93324	[10 Regression] ICE with -Wall on constexpr if
23	23	93559	[10 Regression] ICE: side-effects element in no-side-effects CONSTRUCTOR
24	24	93414	Bad diagnostics for dynamic_cast during constant evaluation: implementation details leak out
25	25	93345	[10 Regression] ICE in nothrow_spec_p, at cp/except.c:1247
26	26	93898	[9/10 Regression] internal compiler error: in output_constructor_regular_field
27	27	93633	ICE on consteval virtual
28	28	93551	[10 Regression] Call from templated function to constrained constructor segfaults when attempting to narrow to bool
29	29	93618	[10 Regression] : unknown array size in delete when using C++20 standard
30	30	93549	[10 Regression] ICE / Segfault in constexpr expansion involving vector_size(16) short COND_EXPR
31	31	93728	First half of warning message suppressed because code pointed to is in system header
32	32	93895	[10 Regression] ICE (segmentation fault) in use of __is_constructible intrinsic
33	33	93713	[10 Regression] ICE in equivalently_constrained, at cp/constraint.cc:2949
34	34	93675	Starship operator on a hidden friend operator does not work
35	35	93710	poor location in diagnostics of messages about array initializers
36	36	93248	[8/9/10 Regression] ICE in decltype of template constructor with default argument within a class template since r8-2712
37	37	93169	[10 regression] Variable incorrectly put into readonly section.
38	38	94175	[10 Regression] Passing constexpr empty class variable to function since r10-599
39	39	94241	ranges::find_if doesn't like data structures defined in a function
40	40	93443	gcc/cp/coroutines.cc:3555:23: runtime error: load of value 255, which is not a valid value for type 'bool'
41	41	93801	False -Wmismatched-tags upon redundant typename
42	42	94316	An error occurs when a globally defined array of classes is initialized with values
