	Unnamed: 0	Issue ID	Title
0	0	103991	[12 Regression] Bogus -Wreturn-type with constexpr if and local var with destructor
1	1	104031	[12 regression] Global nested constructors generate invalid code since r12-6329-g4f6bc28fc7dd86bd
2	2	104204	Ambiguity error for out of class definition of member function template in the presence of a member function of the same name
3	3	104348	Incorrect sorting in constexpr constructor
4	4	103918	ICE in make_decl_rtl, at varasm.c:1422
5	5	103922	fconcepts syntax cause g++ to stop checking access modifiers
6	6	104437	Constructor of templated class with full instantiation name rejected in -std=c++2a
7	7	104425	SFINAE hard error on failed resolution of << for defined class in namespace
8	8	103936	[12 Regression] ICE with cs[5]{}
9	9	104074	[12 Regression] [c++17] Maybe rejected code: is not a valid type for a template non-type parameter since r12-6022-gbb2a7f80a98de3fe
10	10	104043	Non-type template specialization with another type is accepted but ignored
11	11	104168	Crashed when compile `void f(const int N){ int a[1][N] = {}; }`, internal compiler error: in make_decl_rtl, at varasm.c:1422
12	12	104575	noexcept operator rejects call to templated base class member function
13	13	103937	[11/12 Regression] Assembler error: symbol is already defined when compiling static member function templates since r11-7965-g23be03a0f243a084
14	14	104653	Derived class looks for a definition of its inherited constexpr virtual destructor
15	15	104206	[12 regression] test case c-c++-common/pr72747-2.c fails in r12-6821
16	16	104173	[12 Regression] wrong overload resolution for ref-qualifiers
17	17	104294	ICE: tree check: accessed elt 2 of 'tree_vec' with 1 elts in tsubst_pack_expansion, at cp/pt.cc:13130
18	18	104682	Missing deprecated warning on enumerator in class template
19	19	104347	internal compiler error- default template arguments - missing angle brackets
20	20	104792	Wunused-local-typedefs with typedef/type alias defined in struct that is defined in a function scope
21	21	104184	[11/12 Regression] ICE Error reporting routines re-entered. xref_basetypes since r11-291-g0f50f6daa140186a
22	22	104235	[12 Regression] ICE: in cp_parser_template_id, at cp/parser.cc
23	23	103929	False warning: no return statement in function returning non-void with lambda in template argument for non-class type as default template argument
24	24	104007	[12 Regression] new (std::nothrow) S[n] always calls ~S since r12-6328-gbeaee0a871b6485d
25	25	104641	Deduction guide for member template class rejected at class scope when used with typename dependant type
26	26	104291	[12 Regression] gcc accepts template argument involves template parameter(s)
27	27	104295	ICE: tree check: expected template_decl, have error_mark in build_deduction_guide, at cp/pt.cc:29079
28	28	105006	[12 Regression] ice: tree check: expected function_decl, have using_decl in maybe_push_used_methods, at cp/class.cc:1325
29	29	104383	User-defined conversion is preferred over standard-one
30	30	104108	[10 Regression] [c++17+] template alias inside template with static field of template class rejected since r10-6329-g423284053ec51832
31	31	104300	[12 Regression] ICE in gimplify_var_or_parm_decl, at gimplify.c:2977 since r12-6326-ge948436eab818c52
32	32	105111	Ambiguous constructor overload with requires constraint
33	33	104410	[11 Regression] Internal error using default-initialized constexpr bool in requires clause
34	34	103921	[modules] ICE dependent expression in explicit-specifier of instantiation of imported template
35	35	104432	[12 Regression] ICE in operator() from filter_memfn_lookup since r12-6080
36	36	104488	Wrong access specification in method pointer assignment
37	37	104509	Scoped enum as bit field in a function template
38	38	103943	[11 Regression] ICE building qualified name inside class with variadic CTAD
