	Unnamed: 0	Issue ID	Title
0	0	98620	SFINAE code in class specialization generates warnings
1	1	98626	UBSAN: vec.h:591:30: runtime error: member access within null pointer of type 'struct vec'
2	2	98711	internal compiler error on instantiation of c++20 template class with 2 constrained and disabled destructors
3	3	98714	[c++14] Nested type with variadic template class argument can't be expanded into using outer variadic types
4	4	98579	[11 Regression] ICE: in output_constructor_regular_field, at varasm.c:5491 since r11-2720-g91e6226f880b0482
5	5	98687	[11 Regression] ICE tree check: expected tree that contains ‘decl minimal’ structure, have ‘overload’ in diagnose_name_conflict, at cp/name-lookup.c:2729 since r11-6652-g796ead19f85372e5
6	6	98742	[11 Regression] ICE: tree check: expected class 'type', have 'exceptional' (error_mark) in finish_omp_clauses, at cp/semantics.c:7435 since r11-6752-ga6d22fb21c6f1ad7
7	7	98624	UBSAN: gcc/cp/module.cc:5895:29: runtime error: member call on null pointer of type 'struct module_state'
8	8	98659	[11 Regression] ICE tree check: expected tree that contains ‘decl common’ structure, have ‘error_mark’ in maybe_instantiate_noexcept, at cp/pt.c:25445 since r11-6476-gaf362af18f405c34
9	9	98938	throw calls move constructor
10	10	98802	[10 Regression] class template argument deduce guide leads infinite recursive since r10-4719-g9b41ebbcdf9e3328
11	11	98994	[11 Regression] Empty type with [[no_unique_address]] in union with constructor is not a constant expression since r11-6918
12	12	98744	[11 Regression] ICE in gimple_call_arg, at gimple.h:3246 since r11-6735-g424deca72b63e644
13	13	98551	[10/11 Regression] ICE in replace_result_decl, at cp/constexpr.c:2150
14	14	98604	Passing constexpr by const reference causes excessive memory usage during compilation
15	15	99016	[9/10/11 Regression] Internal compiler error from decltype of binary operator when one operand is a prvalue function call
16	16	99208	[modules] ICE with partitions & instantiations of linkage-typedef structs
17	17	98972	internal compiler error: Segmentation fault signal terminated program cc1plus
18	18	99103	Initializer-list constructors in CTAD for vector is still wrong
19	19	99213	Suboptimal pretty printing of local class type when type's context contains a class template specialization
20	20	98545	[11 Regression] ICE in write_expression, at cp/mangle.c:3352
21	21	98843	Building simple c++ modules example fails but successful with -save-temps
22	22	98515	"[11 Regression] Possible regression causing ""is protected within this context"" error"
23	23	98625	UBSAN: gcc/cp/module.cc:977:15: runtime error: left shift of negative value -1
24	24	98805	exception abort on mac os 11 (big sur)
25	25	98770	[modules] including certain stdlib headers in the global module fragment of different modules causes conflicting global module declarations
26	26	98570	[8/9/10/11 Regression] ICE: canonical types differ for identical types
27	27	98745	[11 Regression] ICE: Segmentation fault (in print_mem_ref / c_pretty_printer::primary_expression)
28	28	98844	Deduction guides don't inhibit the aggregate deduction candidate
29	29	99040	[modules] partitions & using declarations
30	30	99119	Class Types in Non-Type Template Parameters - ICE with templates nested
31	31	98976	[constexpr, coroutines] co_return in a switch statement doesn't make a generic lambda non-constexpr
32	32	99423	[modules] ICE tree check: expected tree_vec, have ggc_freed in lookup_template_class_1, at cp/pt.c:9803
33	33	99116	[11 Regression] ICE in set_identifier_type_value_with_scope, at cp/name-lookup.c:4764
34	34	99071	[modules] ICE with initializer_list & iostream
35	35	99132	[11 Regression] ICE in C++20 mode for constexpr not_null evaluation -- in cxx_eval_indirect_ref, at cp/constexpr.c:4905
36	36	99153	[11 Regression] ICE: depset::hash::make_dependency
37	37	98707	ICE using std::string in a module partition
38	38	99566	designated initialization rejects explicit constructor
